SR. NO.,District,Taluka,Village Name
389,Osmanabad,Tuljapur,Khuntewadi
390,Osmanabad,Tuljapur,Vanewadi
391,Osmanabad,Tuljapur,Wadgaon Kali
392,Osmanabad,Tuljapur,Jalkotwadi
393,Osmanabad,Tuljapur,Gavalewadi
394,Osmanabad,Tuljapur,Ganjewadi
395,Osmanabad,Tuljapur,Sangvi Ma.
396,Osmanabad,Tuljapur,Suratgaon
397,Osmanabad,Tuljapur,Salgara Di.
398,Osmanabad,Tuljapur,Shivkar
399,Osmanabad,Tuljapur,Deosinga Tul.
400,Osmanabad,Tuljapur,Gandhora
401,Osmanabad,Tuljapur,Bornadiwadi
402,Osmanabad,Tuljapur,Wadgaon Lakh
403,Osmanabad,Tuljapur,Khandala
404,Osmanabad,Tuljapur,Javalga Me.
405,Osmanabad,Tuljapur,Karla
406,Osmanabad,Tuljapur,Banegaon
407,Osmanabad,Tuljapur,Tirth Kh.
408,Osmanabad,Tuljapur,Bijnwadi
409,Osmanabad,Tuljapur,Kilaj
410,Osmanabad,Tuljapur,Chikundra
411,Osmanabad,Tuljapur,Huglur
412,Osmanabad,Tuljapur,Barul
413,Osmanabad,Tuljapur,Wadgaon
414,Osmanabad,Tuljapur,Wadgaon Deo
415,Osmanabad,Tuljapur,Ohnala
416,Osmanabad,Tuljapur,Kankrba
417,Osmanabad,Tuljapur,Kankrbawadi
418,Osmanabad,Tuljapur,Tadvala
419,Osmanabad,Tuljapur,Morda
420,Osmanabad,Tuljapur,Biori
421,Osmanabad,Tuljapur,Hangrga Tul
422,Osmanabad,Tuljapur,Katri
423,Osmanabad,Tuljapur,Tuljapur
424,Osmanabad,Tuljapur,Aapsinga
425,Osmanabad,Tuljapur,Kamtha
426,Osmanabad,Tuljapur,Dhekri
427,Osmanabad,Tuljapur,Shirdhona
428,Osmanabad,Tuljapur,Sindphal
429,Osmanabad,Tuljapur,Amurtwadai
430,Osmanabad,Washi,Vashi
431,Osmanabad,Washi,Kelewadi
432,Osmanabad,Washi,Kavdewadi
433,Osmanabad,Washi,Mahaldarpuri
434,Osmanabad,Washi,Golegaon
435,Osmanabad,Washi,Ghodki
436,Osmanabad,Washi,Para
437,Osmanabad,Washi,Dongrewadi
438,Osmanabad,Washi,Phakrabad
439,Osmanabad,Washi,Sorola Va.
440,Osmanabad,Washi,Sonegaon
441,Osmanabad,Washi,Sellu
442,Osmanabad,Washi,Sorola Ma.
443,Osmanabad,Washi,Pimpalgaon Li.
444,Osmanabad,Washi,Lakhangaon
445,Osmanabad,Washi,Pimpalwadi
446,Osmanabad,Washi,Terekheda
447,Osmanabad,Washi,Khamkarwadi
448,Osmanabad,Washi,Satwaiwadi
449,Osmanabad,Washi,Khanapur
